,id,Time,Type,Notes,mod_Notes,dict_Notes,Mica,Windel
0,595,19:04:15 05-02-2021,Pee,Mica: True  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
1,594,17:04:41 05-02-2021,Pee,Mica: True  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
2,593,15:51:20 05-02-2021,Pee,Mica: True  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
3,592,15:32:41 05-02-2021,Pee,Mica: True,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
4,591,15:04:42 05-02-2021,Pee,Mica: False  Windel: Nass,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
5,590,14:29:12 05-02-2021,Pee,Mica: true  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
6,589,13:14:53 05-02-2021,Pee,Mica: true  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
7,588,12:08:12 05-02-2021,Pee,Mica: true  Windel: nass,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
8,587,11:15:16 05-02-2021,Pee,Mica: true  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
9,586,10:17:54 05-02-2021,Pee,Mica: True  Windel: Trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
10,585,09:57:20 05-02-2021,Pee,Pipi in mica. Windel feucht,"Windel: feucht, Mica: True","{'Windel': 'feucht', 'Mica': True}",True,feucht
11,584,09:20:09 05-02-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
12,583,09:11:25 05-02-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
13,582,08:47:09 05-02-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
14,580,08:05:03 05-02-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
15,579,07:04:01 05-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
16,578,03:47:57 05-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
17,577,00:45:53 05-02-2021,Pee,Mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
18,576,21:35:17 05-01-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
19,575,20:19:24 05-01-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
20,574,19:30:51 05-01-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
21,573,18:30:23 05-01-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
22,572,17:57:01 05-01-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
23,571,17:15:26 05-01-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
25,569,15:48:40 05-01-2021,Pee,In mica  Windel trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
26,568,14:47:51 05-01-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
27,567,13:59:18 05-01-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
28,566,13:50:13 05-01-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
29,564,13:05:47 05-01-2021,Pee,Pipi in mica  Windel trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
30,565,12:00:04 05-01-2021,Pee,Pipi un mica  Windel trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
32,562,08:39:03 05-01-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
33,559,07:02:56 05-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
34,561,05:50:45 05-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
35,560,02:50:19 05-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
36,558,21:45:19 04-30-2021,Pee,Mica  Windel trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
37,557,20:15:15 04-30-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
38,556,19:29:01 04-30-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
39,555,18:42:17 04-30-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
40,554,15:40:39 04-30-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
41,553,15:00:54 04-30-2021,Pee,Mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
42,552,14:32:01 04-30-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
44,550,12:44:28 04-30-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
45,549,10:40:19 04-30-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
46,548,08:58:07 04-30-2021,Pee,Pipi in mica  Windel trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
47,547,07:35:42 04-30-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
48,545,04:33:49 04-30-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
49,546,01:23:13 04-30-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
50,544,20:51:16 04-29-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
51,543,20:06:24 04-29-2021,Pee,Pipi in mica  Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
52,542,17:50:44 04-29-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
53,540,17:17:02 04-29-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
55,541,16:10:21 04-29-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
56,538,14:16:52 04-29-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
57,537,13:30:14 04-29-2021,Pee,En la mica y Pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
58,536,12:17:17 04-29-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
59,535,10:26:52 04-29-2021,Pee,In mica. Windel trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
