id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
794,18:47:08 05-02-2021,18:55:50 05-02-2021,Right Breast,,,,8,Breast Milk,,
793,17:51:32 05-02-2021,18:00:55 05-02-2021,Left Breast,,,,9,Breast Milk,,
792,15:03:51 05-02-2021,15:21:48 05-02-2021,Left Breast,,,,17,Breast Milk,,
790,12:12:21 05-02-2021,12:14:19 05-02-2021,Left Breast,,,,1,Breast Milk,,
789,11:57:01 05-02-2021,12:08:56 05-02-2021,Right Breast,,,,11,Breast Milk,,
788,11:47:31 05-02-2021,11:55:52 05-02-2021,Left Breast,,,,8,Breast Milk,,
787,10:31:27 05-02-2021,10:37:29 05-02-2021,Right Breast,,,,6,Breast Milk,,
786,09:10:51 05-02-2021,09:17:23 05-02-2021,Left Breast,,,,6,Breast Milk,,
785,07:05:19 05-02-2021,07:15:59 05-02-2021,Right Breast,,,,10,Breast Milk,,
784,03:47:36 05-02-2021,03:54:26 05-02-2021,Left Breast,,,,6,Breast Milk,,
783,00:45:40 05-02-2021,00:55:53 05-02-2021,Right Breast,,,,10,Breast Milk,,
782,21:39:37 05-01-2021,21:45:51 05-01-2021,Left Breast,,,,6,Breast Milk,,
781,20:19:35 05-01-2021,20:29:40 05-01-2021,Right Breast,,,,10,Breast Milk,,
780,18:43:00 05-01-2021,18:49:13 05-01-2021,Left Breast,,,,6,Breast Milk,,
778,16:15:10 05-01-2021,16:21:14 05-01-2021,Left Breast,,,,6,Breast Milk,,
777,16:01:41 05-01-2021,16:12:02 05-01-2021,Right Breast,,,,10,Breast Milk,,
776,13:46:13 05-01-2021,13:55:43 05-01-2021,Left Breast,,,,9,Breast Milk,,
775,11:10:05 05-01-2021,11:17:56 05-01-2021,Left Breast,,,,7,Breast Milk,,
774,10:58:01 05-01-2021,11:06:29 05-01-2021,Right Breast,,,,8,Breast Milk,,
773,08:37:39 05-01-2021,08:43:58 05-01-2021,Left Breast,,,,6,Breast Milk,,
772,05:59:09 05-01-2021,06:05:34 05-01-2021,Right Breast,,,,6,Breast Milk,,
771,02:51:15 05-01-2021,03:03:49 05-01-2021,Left Breast,,,,12,Breast Milk,,
770,22:12:03 04-30-2021,22:17:13 04-30-2021,Right Breast,,,,5,Breast Milk,,
769,20:48:53 04-30-2021,21:00:16 04-30-2021,Left Breast,,,,11,Breast Milk,,
768,19:13:55 04-30-2021,19:19:48 04-30-2021,Right Breast,,,,5,Breast Milk,,
767,18:54:47 04-30-2021,19:01:04 04-30-2021,Left Breast,,,,6,Breast Milk,,
766,16:42:39 04-30-2021,16:52:21 04-30-2021,Right Breast,,,,9,Breast Milk,,
765,13:58:33 04-30-2021,14:05:56 04-30-2021,Left Breast,,,,7,Breast Milk,,
764,13:50:52 04-30-2021,13:56:49 04-30-2021,Right Breast,,,,5,Breast Milk,,
763,10:29:13 04-30-2021,10:39:20 04-30-2021,Left Breast,,,,10,Breast Milk,,
762,07:51:58 04-30-2021,07:55:36 04-30-2021,Right Breast,,,,3,Breast Milk,,
761,07:43:43 04-30-2021,07:49:56 04-30-2021,Left Breast,,,,6,Breast Milk,,
760,04:35:04 04-30-2021,04:46:25 04-30-2021,Right Breast,,,,11,Breast Milk,,
759,01:21:17 04-30-2021,01:30:04 04-30-2021,Left Breast,,,,8,Breast Milk,,
758,21:05:51 04-29-2021,21:11:14 04-29-2021,Left Breast,,,,5,Breast Milk,,
757,20:56:53 04-29-2021,21:05:37 04-29-2021,Right Breast,,,,8,Breast Milk,,
756,18:57:20 04-29-2021,19:00:52 04-29-2021,Right Breast,,,,3,Breast Milk,,
755,18:48:18 04-29-2021,18:54:37 04-29-2021,Left Breast,,,,6,Breast Milk,,
754,17:29:21 04-29-2021,17:36:18 04-29-2021,Left Breast,,,,6,Breast Milk,,
752,17:15:21 04-29-2021,17:23:20 04-29-2021,Right Breast,,,,7,Breast Milk,,
751,14:17:57 04-29-2021,14:27:25 04-29-2021,Left Breast,,,,9,Breast Milk,,
750,11:27:39 04-29-2021,11:32:08 04-29-2021,Left Breast,,,,4,Breast Milk,,
749,11:15:46 04-29-2021,11:24:21 04-29-2021,Right Breast,,,,8,Breast Milk,,
748,08:48:30 04-29-2021,08:50:15 04-29-2021,Right Breast,,,,1,Breast Milk,,
