,id,Time,Type,Notes,mod_Notes,dict_Notes,Mica,Windel,datetime
0,595,19:04:15 05-02-2021,Pee,Mica: True  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 19:04:15
1,594,17:04:41 05-02-2021,Pee,Mica: True  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 17:04:41
2,593,15:51:20 05-02-2021,Pee,Mica: True  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 15:51:20
3,592,15:32:41 05-02-2021,Pee,Mica: True,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 15:32:41
4,591,15:04:42 05-02-2021,Pee,Mica: False  Windel: Nass,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-05-02 15:04:42
5,590,14:29:12 05-02-2021,Pee,Mica: true  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 14:29:12
6,589,13:14:53 05-02-2021,Pee,Mica: true  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 13:14:53
7,588,12:08:12 05-02-2021,Pee,Mica: true  Windel: nass,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-05-02 12:08:12
8,587,11:15:16 05-02-2021,Pee,Mica: true  Windel: trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 11:15:16
9,586,10:17:54 05-02-2021,Pee,Mica: True  Windel: Trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 10:17:54
10,585,09:57:20 05-02-2021,Pee,Pipi in mica. Windel feucht,"Windel: feucht, Mica: True","{'Windel': 'feucht', 'Mica': True}",True,feucht,2021-05-02 09:57:20
11,584,09:20:09 05-02-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-05-02 09:20:09
